src,part,pvs,Frame,vqm,bitrate,resWidth,resHeight,GroupCount,mean_Blockiness,mean_SA,mean_Blockloss,mean_Blur,mean_TA,mean_Exposure,mean_Contrast,mean_Brightness,mean_Noise
intel_bottles,6,0,0,0,0,0,0,50,1.1637702,70.062195,3.3278572,4.77926,2.112315,126,40.4544254,0.496356,0.968076
intel_bottles,7,0,0,0,0,0,0,50,1.160859,70.1720162,3.4021428,4.75694,2.1068932,126,40.5405158,0.4963944,0.97033
ntia_Aspen,1,0,0,0,0,0,0,50,0.8794628,36.8945106,0.6742856,5.56526,10.3655444,116.02,28.2429794,0.4599664,1.057098
ntia_Aspen,2,0,0,0,0,0,0,50,0.882262,38.3540254,0.518572,5.34892,10.7020114,115.5,28.2189812,0.458828,1.043304
ntia_Aspen,3,0,0,0,0,0,0,50,0.9240366,32.6621998,0.9914286,5.64386,12.045011,109.36,33.5785958,0.4355852,1.09415
ntia_Aspen,4,0,0,0,0,0,0,50,0.8795616,67.5284568,0.2549996,4.68322,19.0962594,126.8,36.389765,0.5157898,0.83021
ntia_Aspen,5,0,0,0,0,0,0,50,0.9045148,103.8679152,0.183571,4.5918,17.3671674,124.62,46.0709774,0.4917954,0.750556
ntia_Aspen,6,0,0,0,0,0,0,50,0.9042864,80.4623748,0.1764288,4.10622,11.2895196,124.68,45.7393058,0.514109,0.846328
ntia_Aspen,7,0,0,0,0,0,0,50,0.894871,131.767836,0.2978572,4.15032,10.8257732,138.32,48.9177192,0.5439088,0.693956
ntia_Aspen,8,0,0,0,0,0,0,50,0.9059366,153.495705,0.0257136,3.86968,8.4254276,129.08,49.9221166,0.5105758,0.796604
ntia_Aspen,9,0,0,0,0,0,0,50,0.9043818,135.034746,0,3.55166,6.1138426,131.92,42.959483,0.5259798,0.81681
ntia_BoxingBags,1,0,0,0,0,0,0,50,0.8435028,43.5103506,2.634286,6.83788,25.9765008,138.96,47.171871,0.5449806,1.210322
ntia_BoxingBags,2,0,0,0,0,0,0,50,0.834237,41.166212,2.9314292,6.68044,31.0826182,139.02,46.5721346,0.544983,1.252128
ntia_BoxingBags,3,0,0,0,0,0,0,50,0.8666796,59.153885,2.1985714,4.84216,25.1674874,137.1,44.0024228,0.536511,1.203286
ntia_BoxingBags,4,0,0,0,0,0,0,50,0.8934264,93.8384536,2.1399996,3.34768,18.4831286,138.06,46.9610182,0.542076,1.258614
ntia_BoxingBags,5,0,0,0,0,0,0,50,0.8903688,92.0313014,2.1492858,3.40558,19.191081,138.04,47.0509816,0.5421456,1.254814
ntia_BoxingBags,6,0,0,0,0,0,0,50,0.8908384,91.081748,2.1114288,3.40296,18.8556152,137.96,46.736063,0.5424708,1.23534
ntia_BoxingBags,7,0,0,0,0,0,0,50,0.8726818,57.6898598,2.3350002,4.93496,24.6116542,138.4,44.1294784,0.545452,1.246168
ntia_BoxingBags,8,0,0,0,0,0,0,50,0.866271,56.9333626,2.6371424,4.92516,25.9635704,139.16,45.1225176,0.5474742,1.29991
ntia_BoxingBags,9,0,0,0,0,0,0,50,0.8671592,57.167253,2.6257146,4.8536,22.8828956,139.62,45.1615866,0.5489274,1.289362
